Month,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Jan,"1,052,224","1,136,538","1,079,891","1,036,540","650,608","693,531","815,408","909,806","1,037,967","1,006,049","1,149,107","1,147,705","1,140,841","1,156,581","1,172,653","1,157,415"
Feb,"1,244,753","1,253,271","1,244,375","1,162,277","681,676","774,108","987,265","2,115,420","1,185,746","1,186,038","1,254,709","1,340,801","1,331,716","1,305,932","1,257,589","1,434,716"
Mar,"1,564,938","1,519,952","1,528,582","1,339,158","847,002","1,059,134","1,238,252","1,398,128","1,444,773","1,529,348","1,540,724","1,590,701","1,553,142","1,657,716","1,552,126","912,800"
Apr,"1,493,837","1,439,311","1,326,837","1,237,336","822,746","976,345","1,149,240","1,177,478","1,276,318","1,381,300","1,449,812","1,501,379","1,424,793","1,364,619","1,355,548","563,122"
May,"1,488,171","1,478,735","1,550,609","1,383,754","919,295","1,096,910","1,052,417","1,327,521","1,434,096","1,598,730","1,629,328","1,520,463","1,517,197","1,576,158","1,606,260","1,181,756"
Jun,"1,671,401","1,487,688","1,433,282","1,176,765","850,654","978,154","1,044,037","1,276,629","1,396,038","1,412,565","1,471,074","1,508,662","1,472,495","1,549,950","1,462,664","1,214,706"
Jul,"1,795,944","1,480,504","1,302,661","1,126,477","991,950","1,045,915","1,055,231","1,141,761","1,306,885","1,427,029","1,507,307","1,517,151","1,415,051","1,373,655","1,417,418","1,336,267"
Aug,"1,474,130","1,478,072","1,467,601","1,240,785","1,254,982","993,211","1,067,895","1,274,193","1,494,273","1,575,971","1,568,896","1,508,095","1,480,526","1,500,121","1,628,577","1,298,489"
Sep,"1,321,156","1,342,543","1,305,275","959,127","740,394","953,837","1,048,158","1,183,825","1,128,124","1,239,405","1,435,728","1,428,354","1,523,050","1,440,820","1,282,712","1,370,243"
Oct,"1,139,217","1,205,973","1,221,485","829,396","832,953","940,740","1,015,016","1,085,804","1,198,989","1,275,657","1,449,359","1,368,064","1,353,586","1,393,137","1,384,010","541,707"
Nov,"1,160,447","1,188,344","1,170,035","737,978","741,826","863,198","986,664","1,137,862","1,236,413","1,291,817","1,313,000","1,375,086","1,397,105","1,399,187","1,445,173",0
Dec,"1,475,649","1,419,758","1,377,542","884,306","1,013,629","1,135,333","1,236,129","1,347,837","1,350,623","1,500,108","1,635,926","1,694,258","1,603,063","1,605,973","1,459,164",0
